Дата      ;Расход    ;
09.09.2000; 11000.000;
10.09.2000; 10800.000;
11.09.2000; 10600.000;
12.09.2000; 10500.000;
13.09.2000; 10200.000;
14.09.2000;  9970.000;
15.09.2000;  9790.000;
16.09.2000;  9520.000;
17.09.2000;  9490.000;
18.09.2000;  9700.000;
19.09.2000;  9790.000;
20.09.2000;  9910.000;
21.09.2000; 10100.000;
22.09.2000; 10300.000;
23.09.2000; 10400.000;
24.09.2000; 10600.000;
25.09.2000; 10600.000;
26.09.2000; 10500.000;
27.09.2000; 10400.000;
28.09.2000; 10200.000;
29.09.2000;  9880.000;
30.09.2000;  9610.000;
01.10.2000;  9310.000;
02.10.2000;  9010.000;
03.10.2000;  8770.000;
04.10.2000;  8590.000;
05.10.2000;  8500.000;
06.10.2000;  8350.000;
07.10.2000;  8320.000;
08.10.2000;  8590.000;
09.10.2000;  8740.000;
10.10.2000;  8860.000;
11.10.2000;  8920.000;
12.10.2000;  8950.000;
13.10.2000;  8890.000;
14.10.2000;  8890.000;
15.10.2000;  8860.000;
16.10.2000;  8710.000;
17.10.2000;  8590.000;
18.10.2000;  8590.000;
19.10.2000;  8410.000;
20.10.2000;  8320.000;
21.10.2000;  8200.000;
22.10.2000;  8030.000;
23.10.2000;  7850.000;
24.10.2000;  7710.000;
25.10.2000;  7540.000;
26.10.2000;  7280.000;
27.10.2000;  6850.000;
28.10.2000;  6510.000;
29.10.2000;  6380.000;
30.10.2000;  6260.000;
01.11.2000;  6060.000;
02.11.2000;  5920.000;
03.11.2000;  5840.000;
04.11.2000;  5730.000;
05.11.2000;  5620.000;
06.11.2000;  5510.000;
07.11.2000;  5420.000;
08.11.2000;  5310.000;
09.11.2000;  4940.000;
10.11.2000;  4370.000;
11.11.2000;  4030.000;
12.11.2000;  3890.000;
13.11.2000;  3510.000;
14.11.2000;  2990.000;
15.11.2000;  2460.000;
16.11.2000;  1740.000;
17.11.2000;  1750.000;
18.11.2000;  1760.000;
19.11.2000;  1770.000;
20.11.2000;  1780.000;
21.11.2000;  1790.000;
22.11.2000;  1800.000;
23.11.2000;  1810.000;
24.11.2000;  1820.000;
25.11.2000;  1830.000;
26.11.2000;  1840.000;
27.11.2000;  1840.000;
28.11.2000;  1850.000;
29.11.2000;  1860.000;
30.11.2000;  1870.000;
01.12.2000;  1880.000;
02.12.2000;  1890.000;
03.12.2000;  1900.000;
04.12.2000;  1910.000;
05.12.2000;  1920.000;
06.12.2000;  1930.000;
07.12.2000;  1950.000;
08.12.2000;  1970.000;
09.12.2000;  1990.000;
10.12.2000;  2000.000;
11.12.2000;  2020.000;
12.12.2000;  2040.000;
13.12.2000;  2060.000;
14.12.2000;  2080.000;
15.12.2000;  2100.000;
16.12.2000;  2120.000;
17.12.2000;  2130.000;
18.12.2000;  2150.000;
19.12.2000;  2170.000;
20.12.2000;  2190.000;
21.12.2000;  2210.000;
22.12.2000;  2230.000;
23.12.2000;  2250.000;
24.12.2000;  2260.000;
25.12.2000;  2280.000;
26.12.2000;  2300.000;
27.12.2000;  2320.000;
28.12.2000;  2340.000;
29.12.2000;  2320.000;
30.12.2000;  2290.000;
01.01.2001;  2240.000;
02.01.2001;  2220.000;
03.01.2001;  2190.000;
04.01.2001;  2170.000;
05.01.2001;  2140.000;
06.01.2001;  2120.000;
07.01.2001;  2090.000;
08.01.2001;  2070.000;
09.01.2001;  2040.000;
10.01.2001;  2040.000;
11.01.2001;  2040.000;
12.01.2001;  2030.000;
13.01.2001;  2030.000;
14.01.2001;  2030.000;
15.01.2001;  2030.000;
16.01.2001;  2030.000;
17.01.2001;  2020.000;
18.01.2001;  2020.000;
19.01.2001;  2020.000;
20.01.2001;  2020.000;
21.01.2001;  2020.000;
22.01.2001;  2020.000;
23.01.2001;  2010.000;
24.01.2001;  2010.000;
25.01.2001;  2010.000;
26.01.2001;  1990.000;
27.01.2001;  1980.000;
28.01.2001;  1960.000;
29.01.2001;  1940.000;
30.01.2001;  1930.000;
01.02.2001;  1890.000;
02.02.2001;  1880.000;
03.02.2001;  1860.000;
04.02.2001;  1840.000;
05.02.2001;  1830.000;
06.02.2001;  1810.000;
07.02.2001;  1800.000;
08.02.2001;  1800.000;
09.02.2001;  1790.000;
10.02.2001;  1780.000;
11.02.2001;  1770.000;
12.02.2001;  1770.000;
13.02.2001;  1760.000;
14.02.2001;  1750.000;
15.02.2001;  1750.000;
16.02.2001;  1740.000;
17.02.2001;  1730.000;
18.02.2001;  1720.000;
19.02.2001;  1720.000;
20.02.2001;  1710.000;
21.02.2001;  1720.000;
22.02.2001;  1730.000;
23.02.2001;  1740.000;
24.02.2001;  1750.000;
25.02.2001;  1770.000;
26.02.2001;  1780.000;
27.02.2001;  1790.000;
28.02.2001;  1800.000;
29.02.2001;          ;
30.02.2001;          ;
01.03.2001;  1810.000;
02.03.2001;  1810.000;
03.03.2001;  1800.000;
04.03.2001;  1800.000;
05.03.2001;  1800.000;
06.03.2001;  1790.000;
07.03.2001;  1790.000;
08.03.2001;  1790.000;
09.03.2001;  1780.000;
10.03.2001;  1780.000;
11.03.2001;  1780.000;
12.03.2001;  1770.000;
13.03.2001;  1770.000;
14.03.2001;  1770.000;
15.03.2001;  1760.000;
16.03.2001;  1760.000;
17.03.2001;  1760.000;
18.03.2001;  1750.000;
19.03.2001;  1750.000;
20.03.2001;  1740.000;
21.03.2001;  1740.000;
22.03.2001;  1730.000;
23.03.2001;  1730.000;
24.03.2001;  1720.000;
25.03.2001;  1720.000;
26.03.2001;  1710.000;
27.03.2001;  1710.000;
28.03.2001;  1700.000;
29.03.2001;  1700.000;
30.03.2001;  1690.000;
01.04.2001;  1700.000;
02.04.2001;  1710.000;
03.04.2001;  1720.000;
04.04.2001;  1720.000;
05.04.2001;  1730.000;
06.04.2001;  1800.000;
07.04.2001;  1870.000;
08.04.2001;  1890.000;
09.04.2001;  2030.000;
10.04.2001;  2130.000;
11.04.2001;  2300.000;
12.04.2001;  2500.000;
13.04.2001;  2650.000;
14.04.2001;  2900.000;
15.04.2001;  3070.000;
16.04.2001;  3350.000;
17.04.2001;  3650.000;
18.04.2001;  3960.000;
19.04.2001;  4140.000;
20.04.2001;  4490.000;
21.04.2001;  4990.000;
22.04.2001;  6080.000;
23.04.2001;  7830.000;
24.04.2001;  7970.000;
25.04.2001;  8120.000;
26.04.2001;  8530.000;
27.04.2001;  9830.000;
28.04.2001; 10700.000;
29.04.2001;  9890.000;
30.04.2001;  9880.000;
01.05.2001;  8680.000;
02.05.2001;  8200.000;
03.05.2001;  9400.000;
04.05.2001;  9850.000;
05.05.2001; 10100.000;
06.05.2001; 10500.000;
07.05.2001; 11000.000;
08.05.2001; 11700.000;
09.05.2001; 12500.000;
10.05.2001; 13500.000;
11.05.2001; 14500.000;
12.05.2001; 15400.000;
13.05.2001; 15900.000;
14.05.2001; 15900.000;
15.05.2001; 16200.000;
16.05.2001; 16400.000;
17.05.2001; 16600.000;
18.05.2001; 16400.000;
19.05.2001; 15900.000;
20.05.2001; 15700.000;
21.05.2001; 15400.000;
22.05.2001; 15200.000;
23.05.2001; 15000.000;
24.05.2001; 15000.000;
25.05.2001; 15000.000;
26.05.2001; 14800.000;
27.05.2001; 14400.000;
28.05.2001; 14200.000;
29.05.2001; 14100.000;
30.05.2001; 14300.000;
01.06.2001; 13300.000;
02.06.2001; 12500.000;
03.06.2001; 11700.000;
04.06.2001; 11400.000;
05.06.2001; 11100.000;
06.06.2001; 10700.000;
07.06.2001; 10600.000;
08.06.2001; 10500.000;
09.06.2001; 10700.000;
10.06.2001; 10900.000;
11.06.2001; 11300.000;
12.06.2001; 11600.000;
13.06.2001; 12000.000;
14.06.2001; 12500.000;
15.06.2001; 12500.000;
16.06.2001; 12000.000;
17.06.2001; 11100.000;
18.06.2001; 10400.000;
19.06.2001; 10200.000;
20.06.2001; 10000.000;
21.06.2001;  9730.000;
22.06.2001;  9160.000;
23.06.2001;  8410.000;
24.06.2001;  7740.000;
25.06.2001;  7090.000;
26.06.2001;  6610.000;
27.06.2001;  6220.000;
28.06.2001;  5920.000;
29.06.2001;  5680.000;
30.06.2001;  5400.000;
01.07.2001;  5310.000;
02.07.2001;  5180.000;
03.07.2001;  5090.000;
04.07.2001;  5140.000;
05.07.2001;  5180.000;
06.07.2001;  5200.000;
07.07.2001;  5240.000;
08.07.2001;  5440.000;
09.07.2001;  5510.000;
10.07.2001;  5440.000;
11.07.2001;  5330.000;
12.07.2001;  5420.000;
13.07.2001;  5550.000;
14.07.2001;  5860.000;
15.07.2001;  6350.000;
16.07.2001;  6850.000;
17.07.2001;  7430.000;
18.07.2001;  8060.000;
19.07.2001;  8710.000;
20.07.2001;  9280.000;
21.07.2001;  9520.000;
22.07.2001;  9430.000;
23.07.2001;  9220.000;
24.07.2001;  8920.000;
25.07.2001;  8650.000;
26.07.2001;  8320.000;
27.07.2001;  8080.000;
28.07.2001;  8110.000;
29.07.2001;  8170.000;
30.07.2001;  8230.000;
01.08.2001;  8620.000;
02.08.2001;  9010.000;
03.08.2001;  9430.000;
04.08.2001;  9730.000;
05.08.2001; 10000.000;
06.08.2001; 10200.000;
07.08.2001; 10400.000;
08.08.2001; 10800.000;
09.08.2001; 11300.000;
10.08.2001; 11900.000;
11.08.2001; 12600.000;
12.08.2001; 13300.000;
13.08.2001; 14100.000;
14.08.2001; 15100.000;
15.08.2001; 15900.000;
16.08.2001; 16400.000;
17.08.2001; 16400.000;
18.08.2001; 15900.000;
19.08.2001; 15200.000;
20.08.2001; 14800.000;
21.08.2001; 14400.000;
22.08.2001; 13900.000;
23.08.2001; 13500.000;
24.08.2001; 13100.000;
25.08.2001; 12800.000;
26.08.2001; 12700.000;
27.08.2001; 12600.000;
28.08.2001; 12800.000;
29.08.2001; 13300.000;
30.08.2001; 13600.000;
01.09.2001; 13500.000;
02.09.2001; 13100.000;
03.09.2001; 12700.000;
04.09.2001; 12300.000;
05.09.2001; 11800.000;
06.09.2001; 11200.000;
07.09.2001; 10800.000;
08.09.2001; 10200.000;
09.09.2001;  9880.000;
10.09.2001;  9520.000;
11.09.2001;  9160.000;
12.09.2001;  8740.000;
13.09.2001;  8440.000;
14.09.2001;  8350.000;
15.09.2001;  8380.000;
16.09.2001;  8230.000;
17.09.2001;  8080.000;
18.09.2001;  7820.000;
19.09.2001;  7620.000;
20.09.2001;  7460.000;
21.09.2001;  7220.000;
22.09.2001;  7090.000;
23.09.2001;  6800.000;
24.09.2001;  6540.000;
25.09.2001;  6470.000;
26.09.2001;  6330.000;
27.09.2001;  6240.000;
28.09.2001;  6220.000;
29.09.2001;  6220.000;
30.09.2001;  6120.000;
01.10.2001;  6100.000;
02.10.2001;  6010.000;
03.10.2001;  5900.000;
04.10.2001;  5790.000;
05.10.2001;  5770.000;
06.10.2001;  5680.000;
07.10.2001;  5620.000;
08.10.2001;  5550.000;
09.10.2001;  5510.000;
10.10.2001;  5440.000;
11.10.2001;  5370.000;
12.10.2001;  5310.000;
13.10.2001;  5220.000;
14.10.2001;  5180.000;
15.10.2001;  5140.000;
16.10.2001;  5050.000;
17.10.2001;  4990.000;
18.10.2001;  4860.000;
19.10.2001;  4800.000;
20.10.2001;  4740.000;
21.10.2001;  4720.000;
22.10.2001;  4700.000;
23.10.2001;  4690.000;
24.10.2001;  4630.000;
25.10.2001;  4610.000;
26.10.2001;  4520.000;
27.10.2001;  4460.000;
28.10.2001;  4420.000;
29.10.2001;  4360.000;
30.10.2001;  4310.000;
01.11.2001;  4310.000;
02.11.2001;  4160.000;
03.11.2001;  4020.000;
04.11.2001;  3820.000;
05.11.2001;  3650.000;
06.11.2001;  3530.000;
07.11.2001;  3210.000;
08.11.2001;  2870.000;
09.11.2001;  2570.000;
10.11.2001;  2200.000;
11.11.2001;  1690.000;
12.11.2001;  1120.000;
13.11.2001;  1040.000;
14.11.2001;  1080.000;
15.11.2001;  1120.000;
16.11.2001;  1130.000;
17.11.2001;  1140.000;
18.11.2001;  1140.000;
19.11.2001;  1150.000;
20.11.2001;  1160.000;
21.11.2001;  1170.000;
22.11.2001;  1180.000;
23.11.2001;  1190.000;
24.11.2001;  1190.000;
25.11.2001;  1200.000;
26.11.2001;  1210.000;
27.11.2001;  1220.000;
28.11.2001;  1230.000;
29.11.2001;  1240.000;
30.11.2001;  1240.000;
01.12.2001;  1250.000;
02.12.2001;  1260.000;
03.12.2001;  1270.000;
04.12.2001;  1280.000;
05.12.2001;  1290.000;
06.12.2001;  1290.000;
07.12.2001;  1300.000;
08.12.2001;  1310.000;
09.12.2001;  1320.000;
10.12.2001;  1330.000;
11.12.2001;  1340.000;
12.12.2001;  1340.000;
13.12.2001;  1350.000;
14.12.2001;  1360.000;
15.12.2001;  1370.000;
16.12.2001;  1380.000;
17.12.2001;  1390.000;
18.12.2001;  1390.000;
19.12.2001;  1400.000;
20.12.2001;  1410.000;
21.12.2001;  1420.000;
22.12.2001;  1430.000;
23.12.2001;  1440.000;
24.12.2001;  1440.000;
25.12.2001;  1450.000;
26.12.2001;  1460.000;
27.12.2001;  1470.000;
28.12.2001;  1460.000;
29.12.2001;  1460.000;
30.12.2001;  1450.000;
01.01.2002;  1440.000;
02.01.2002;  1430.000;
03.01.2002;  1420.000;
04.01.2002;  1410.000;
05.01.2002;  1410.000;
06.01.2002;  1400.000;
07.01.2002;  1390.000;
08.01.2002;  1390.000;
09.01.2002;  1380.000;
10.01.2002;  1370.000;
11.01.2002;  1350.000;
12.01.2002;  1340.000;
13.01.2002;  1330.000;
14.01.2002;  1320.000;
15.01.2002;  1300.000;
16.01.2002;  1290.000;
17.01.2002;  1280.000;
18.01.2002;  1270.000;
19.01.2002;  1250.000;
20.01.2002;  1240.000;
21.01.2002;  1230.000;
22.01.2002;  1210.000;
23.01.2002;  1200.000;
24.01.2002;  1190.000;
25.01.2002;  1190.000;
26.01.2002;  1180.000;
27.01.2002;  1180.000;
28.01.2002;  1180.000;
29.01.2002;  1180.000;
30.01.2002;  1170.000;
01.02.2002;  1170.000;
02.02.2002;  1170.000;
03.02.2002;  1160.000;
04.02.2002;  1160.000;
05.02.2002;  1160.000;
06.02.2002;  1160.000;
07.02.2002;  1150.000;
08.02.2002;  1150.000;
09.02.2002;  1150.000;
10.02.2002;  1150.000;
11.02.2002;  1160.000;
12.02.2002;  1160.000;
13.02.2002;  1160.000;
14.02.2002;  1160.000;
15.02.2002;  1170.000;
16.02.2002;  1170.000;
17.02.2002;  1170.000;
18.02.2002;  1170.000;
19.02.2002;  1180.000;
20.02.2002;  1180.000;
21.02.2002;  1180.000;
22.02.2002;  1180.000;
23.02.2002;  1170.000;
24.02.2002;  1170.000;
25.02.2002;  1160.000;
26.02.2002;  1160.000;
27.02.2002;  1150.000;
28.02.2002;  1150.000;
29.02.2002;          ;
30.02.2002;          ;
01.03.2002;  1150.000;
02.03.2002;  1140.000;
03.03.2002;  1140.000;
04.03.2002;  1130.000;
05.03.2002;  1130.000;
06.03.2002;  1120.000;
07.03.2002;  1110.000;
08.03.2002;  1100.000;
09.03.2002;  1090.000;
10.03.2002;  1080.000;
11.03.2002;  1070.000;
12.03.2002;  1060.000;
13.03.2002;  1050.000;
14.03.2002;  1040.000;
15.03.2002;  1040.000;
16.03.2002;  1030.000;
17.03.2002;  1020.000;
18.03.2002;  1010.000;
19.03.2002;   997.000;
20.03.2002;   988.000;
21.03.2002;   978.000;
22.03.2002;   969.000;
23.03.2002;   980.000;
24.03.2002;   997.000;
25.03.2002;  1020.000;
26.03.2002;  1030.000;
27.03.2002;  1070.000;
28.03.2002;  1090.000;
29.03.2002;  1110.000;
30.03.2002;  1150.000;
01.04.2002;  1250.000;
02.04.2002;  1280.000;
03.04.2002;  1300.000;
04.04.2002;  1370.000;
05.04.2002;  1400.000;
06.04.2002;  1420.000;
07.04.2002;  1470.000;
08.04.2002;  1480.000;
09.04.2002;  1550.000;
10.04.2002;  1620.000;
11.04.2002;  1830.000;
12.04.2002;  2160.000;
13.04.2002;  2480.000;
14.04.2002;  2780.000;
15.04.2002;  3260.000;
16.04.2002;  3770.000;
17.04.2002;  4220.000;
18.04.2002;  4350.000;
19.04.2002;  4430.000;
20.04.2002;  4440.000;
21.04.2002;  4480.000;
22.04.2002;  5450.000;
23.04.2002;  6330.000;
24.04.2002;  6060.000;
25.04.2002;  6150.000;
26.04.2002;  6850.000;
27.04.2002;  7220.000;
28.04.2002;  7410.000;
29.04.2002;  7460.000;
30.04.2002;  7510.000;
01.05.2002;  7510.000;
02.05.2002;  7510.000;
03.05.2002;  7620.000;
04.05.2002;  7740.000;
05.05.2002;  7740.000;
06.05.2002;  7740.000;
07.05.2002;  7790.000;
08.05.2002;  7880.000;
09.05.2002;  7770.000;
10.05.2002;  7570.000;
11.05.2002;  7680.000;
12.05.2002;  7970.000;
13.05.2002;  8410.000;
14.05.2002;  8560.000;
15.05.2002;  8600.000;
16.05.2002;  8560.000;
17.05.2002;  8530.000;
18.05.2002;  8710.000;
19.05.2002;  9070.000;
20.05.2002;  9370.000;
21.05.2002;  9640.000;
22.05.2002;  9970.000;
23.05.2002; 10200.000;
24.05.2002; 10500.000;
25.05.2002; 10500.000;
26.05.2002; 10300.000;
27.05.2002;  9910.000;
28.05.2002;  9670.000;
29.05.2002;  9310.000;
30.05.2002;  8920.000;
01.06.2002;  8260.000;
02.06.2002;  8290.000;
03.06.2002;  8680.000;
04.06.2002;  9070.000;
05.06.2002;  9250.000;
06.06.2002;  9430.000;
07.06.2002;  9730.000;
08.06.2002; 10100.000;
09.06.2002; 10200.000;
10.06.2002; 10100.000;
11.06.2002;  9940.000;
12.06.2002;  9760.000;
13.06.2002;  9580.000;
14.06.2002;  9250.000;
15.06.2002;  8920.000;
16.06.2002;  8530.000;
17.06.2002;  8200.000;
18.06.2002;  7940.000;
19.06.2002;  7710.000;
20.06.2002;  7510.000;
21.06.2002;  7430.000;
22.06.2002;  7220.000;
23.06.2002;  7040.000;
24.06.2002;  6850.000;
25.06.2002;  6690.000;
26.06.2002;  6770.000;
27.06.2002;  6960.000;
28.06.2002;  7120.000;
29.06.2002;  7360.000;
30.06.2002;  7330.000;
01.07.2002;  7300.000;
02.07.2002;  7300.000;
03.07.2002;  7250.000;
04.07.2002;  7220.000;
05.07.2002;  7280.000;
06.07.2002;  7120.000;
07.07.2002;  7170.000;
08.07.2002;  7280.000;
09.07.2002;  7410.000;
10.07.2002;  7620.000;
11.07.2002;  8000.000;
12.07.2002;  8320.000;
13.07.2002;  8470.000;
14.07.2002;  8380.000;
15.07.2002;  8140.000;
16.07.2002;  7790.000;
17.07.2002;  7650.000;
18.07.2002;  7680.000;
19.07.2002;  8080.000;
20.07.2002;  8470.000;
21.07.2002;  8770.000;
22.07.2002;  8680.000;
23.07.2002;  8650.000;
24.07.2002;  8680.000;
25.07.2002;  8710.000;
26.07.2002;  8800.000;
27.07.2002;  8860.000;
28.07.2002;  8980.000;
29.07.2002;  9280.000;
30.07.2002;  9430.000;
01.08.2002;  9520.000;
02.08.2002;  9700.000;
03.08.2002;  9940.000;
04.08.2002; 10300.000;
05.08.2002; 10500.000;
06.08.2002; 10600.000;
07.08.2002; 10600.000;
08.08.2002; 11100.000;
09.08.2002; 11600.000;
10.08.2002; 12300.000;
11.08.2002; 12700.000;
12.08.2002; 13200.000;
13.08.2002; 13500.000;
14.08.2002; 13800.000;
15.08.2002; 14000.000;
16.08.2002; 14000.000;
17.08.2002; 13900.000;
18.08.2002; 14000.000;
19.08.2002; 13800.000;
20.08.2002; 13600.000;
21.08.2002; 13300.000;
22.08.2002; 12900.000;
23.08.2002; 12700.000;
24.08.2002; 12300.000;
25.08.2002; 12000.000;
26.08.2002; 11800.000;
27.08.2002; 11600.000;
28.08.2002; 11600.000;
29.08.2002; 11800.000;
30.08.2002; 11900.000;
01.09.2002; 11900.000;
02.09.2002; 11500.000;
03.09.2002; 11200.000;
04.09.2002; 10900.000;
05.09.2002; 10500.000;
06.09.2002; 10200.000;
07.09.2002; 10100.000;
08.09.2002;  9970.000;
09.09.2002; 10100.000;
10.09.2002; 10100.000;
11.09.2002; 10400.000;
12.09.2002; 10800.000;
13.09.2002; 10900.000;
14.09.2002; 10800.000;
15.09.2002; 10800.000;
16.09.2002; 10700.000;
17.09.2002; 10700.000;
18.09.2002; 10400.000;
19.09.2002; 10100.000;
20.09.2002;  9670.000;
21.09.2002;  9070.000;
22.09.2002;  8620.000;
23.09.2002;  8260.000;
24.09.2002;  7790.000;
25.09.2002;  7410.000;
26.09.2002;  6960.000;
27.09.2002;  6690.000;
28.09.2002;  6470.000;
29.09.2002;  6310.000;
30.09.2002;  6080.000;
01.10.2002;  5950.000;
02.10.2002;  5790.000;
03.10.2002;  5700.000;
04.10.2002;  5620.000;
05.10.2002;  5730.000;
06.10.2002;  5750.000;
07.10.2002;  5730.000;
08.10.2002;  5860.000;
09.10.2002;  5990.000;
