Дата      ;Уровень;Уровень;Уровень;Темпер.;КСВО          ;
28.03.2000; 504   ; 504   ; 504   ;       ;16            ;
29.03.2000; 502   ; 502   ; 502   ;       ;16            ;
30.03.2000; 500   ; 500   ; 500   ;       ;15            ;
31.03.2000; 496   ; 496   ; 496   ;       ;15            ;
01.04.2000; 494   ; 494   ; 494   ;       ;15            ;
02.04.2000; 492   ; 492   ; 492   ;       ;15            ;
03.04.2000; 491   ; 491   ; 491   ;       ;15            ;
04.04.2000; 490   ; 490   ; 490   ;       ;15            ;
05.04.2000; 489   ; 489   ; 489   ;       ;15            ;
06.04.2000; 486   ; 486   ; 486   ;       ;15            ;
07.04.2000; 485   ; 485   ; 485   ;       ;15            ;
08.04.2000; 488   ; 488   ; 488   ;       ;15            ;
09.04.2000; 492   ; 492   ; 492   ;       ;15            ;
10.04.2000; 503   ; 503   ; 503   ;       ;15            ;
11.04.2000; 514   ; 514   ; 514   ;       ;23,15         ;
12.04.2000; 528   ; 528   ; 528   ;       ;23,15         ;
13.04.2000; 535   ; 535   ; 535   ;       ;23,15         ;
14.04.2000; 543   ; 543   ; 543   ;       ;23,15         ;
15.04.2000; 554   ; 554   ; 554   ;       ;23,15         ;
16.04.2000; 568   ; 568   ; 568   ;       ;23,15         ;
17.04.2000; 581   ; 581   ; 581   ;       ;23,15         ;
18.04.2000; 597   ; 597   ; 597   ;       ;23,15         ;
19.04.2000; 616   ; 616   ; 616   ;       ;23,15         ;
20.04.2000; 654   ; 635   ; 652   ;       ;23,15         ;
21.04.2000; 697   ; 677   ; 693   ;       ;26,25         ;
22.04.2000; 752   ; 722   ; 775   ;       ;26,25         ;
23.04.2000; 721   ; 721   ; 721   ;       ;26,27         ;
24.04.2000; 693   ; 680   ; 702   ;       ; 9,26,27      ;
25.04.2000; 747   ; 710   ; 761   ;       ; 9            ;
26.04.2000; 764   ; 758   ; 768   ;       ; 9            ;
27.04.2000; 753   ; 753   ; 753   ;       ; 8            ;
28.04.2000; 745   ; 742   ; 751   ;       ; 8            ;
29.04.2000; 757   ; 757   ; 757   ;       ; 8            ;
30.04.2000; 783   ; 783   ; 783   ;       ;29            ;
01.05.2000; 791   ; 791   ; 792   ;       ;29            ;
02.05.2000; 791   ; 791   ; 791   ;       ;29            ;
03.05.2000; 790   ; 790   ; 790   ;       ;29            ;
04.05.2000; 798   ; 798   ; 798   ;       ;29            ;
05.05.2000; 820   ; 820   ; 820   ;       ;29            ;
06.05.2000; 848   ; 848   ; 848   ;       ;29            ;
07.05.2000; 870   ; 870   ; 870   ;       ;29            ;
08.05.2000; 894   ; 894   ; 894   ;       ;29            ;
09.05.2000; 908   ; 908   ; 908   ;       ;29            ;
10.05.2000; 925   ; 925   ; 925   ;       ;30            ;
11.05.2000; 935   ; 935   ; 935   ;       ;30            ;
12.05.2000; 942   ; 942   ; 942   ;       ;30            ;
13.05.2000; 946   ; 946   ; 946   ;       ;29            ;
14.05.2000; 941   ; 941   ; 941   ;       ;29            ;
15.05.2000; 935   ; 935   ; 935   ;       ;29            ;
16.05.2000; 922   ; 922   ; 922   ;       ;29            ;
17.05.2000; 906   ; 906   ; 906   ;       ;29            ;
18.05.2000; 898   ; 898   ; 898   ;       ;29            ;
19.05.2000; 888   ; 888   ; 888   ;       ;29            ;
20.05.2000; 876   ; 876   ; 876   ;       ;29            ;
21.05.2000; 863   ; 863   ; 863   ;       ;29            ;
22.05.2000; 856   ; 856   ; 856   ;       ;29            ;
23.05.2000; 842   ; 842   ; 842   ;       ;29            ;
24.05.2000; 828   ; 828   ; 828   ;       ;29            ;
25.05.2000; 818   ; 818   ; 818   ;       ;29            ;
26.05.2000; 813   ; 813   ; 813   ;       ;29            ;
27.05.2000; 812   ; 812   ; 812   ;       ;29            ;
28.05.2000; 815   ; 815   ; 815   ;       ;29            ;
29.05.2000; 820   ; 820   ; 820   ;       ;29            ;
30.05.2000; 821   ; 821   ; 821   ;       ;29            ;
31.05.2000; 814   ; 814   ; 814   ;       ;29            ;
01.06.2000; 801   ; 801   ; 801   ;       ;29            ;
02.06.2000; 787   ; 787   ; 787   ;       ;29            ;
03.06.2000; 777   ; 777   ; 777   ;       ;29            ;
04.06.2000; 769   ; 769   ; 769   ;       ;29            ;
05.06.2000; 750   ; 750   ; 750   ;       ;29            ;
06.06.2000; 742   ; 742   ; 742   ;       ;29            ;
07.06.2000; 742   ; 742   ; 742   ;       ;29            ;
08.06.2000; 744   ; 744   ; 744   ;       ;29            ;
09.06.2000; 744   ; 744   ; 744   ;       ;29            ;
10.06.2000; 739   ; 739   ; 739   ;       ;29            ;
11.06.2000; 729   ; 729   ; 729   ;       ;29            ;
12.06.2000; 721   ; 721   ; 721   ;       ;29            ;
13.06.2000; 710   ; 710   ; 710   ;       ;29            ;
14.06.2000; 696   ; 696   ; 696   ;       ;29            ;
15.06.2000; 685   ; 685   ; 685   ;       ;29            ;
16.06.2000; 678   ; 678   ; 678   ;       ;29            ;
17.06.2000; 666   ; 666   ; 666   ;       ;29            ;
18.06.2000; 654   ; 654   ; 654   ;       ;29            ;
19.06.2000; 644   ; 644   ; 644   ;       ;29            ;
20.06.2000; 629   ; 629   ; 629   ;       ;29            ;
21.06.2000; 615   ; 615   ; 615   ;       ;29            ;
22.06.2000; 601   ; 601   ; 601   ;       ;29            ;
23.06.2000; 594   ; 594   ; 594   ;       ;29            ;
24.06.2000; 583   ; 583   ; 583   ;       ;29            ;
25.06.2000; 572   ; 572   ; 572   ;       ;29            ;
26.06.2000; 561   ; 561   ; 561   ;       ;29            ;
27.06.2000; 551   ; 551   ; 551   ;       ;29            ;
28.06.2000; 547   ; 547   ; 547   ;       ;29            ;
29.06.2000; 545   ; 545   ; 545   ;       ;29            ;
30.06.2000; 538   ; 538   ; 538   ;       ;29            ;
01.07.2000; 536   ; 536   ; 536   ;       ;29            ;
02.07.2000; 534   ; 534   ; 534   ;       ;29            ;
03.07.2000; 534   ; 534   ; 534   ;       ;29            ;
04.07.2000; 542   ; 542   ; 542   ;       ;29            ;
05.07.2000; 544   ; 544   ; 544   ;       ;29            ;
06.07.2000; 551   ; 551   ; 551   ;       ;29            ;
07.07.2000; 552   ; 552   ; 552   ;       ;29            ;
08.07.2000; 558   ; 558   ; 558   ;       ;29            ;
09.07.2000; 565   ; 565   ; 565   ;       ;29            ;
10.07.2000; 572   ; 572   ; 572   ;       ;29            ;
11.07.2000; 582   ; 582   ; 582   ;       ;29            ;
12.07.2000; 592   ; 592   ; 592   ;       ;29            ;
13.07.2000; 599   ; 599   ; 599   ;       ;29            ;
14.07.2000; 608   ; 608   ; 608   ;       ;29            ;
15.07.2000; 615   ; 615   ; 615   ;       ;29            ;
16.07.2000; 623   ; 623   ; 623   ;       ;29            ;
17.07.2000; 635   ; 635   ; 635   ;       ;29            ;
18.07.2000; 650   ; 650   ; 650   ;       ;29            ;
19.07.2000; 656   ; 656   ; 656   ;       ;29            ;
20.07.2000; 656   ; 656   ; 656   ;       ;29            ;
21.07.2000; 659   ; 659   ; 659   ;       ;29            ;
22.07.2000; 668   ; 668   ; 668   ;       ;29            ;
23.07.2000; 674   ; 674   ; 674   ;       ;29            ;
24.07.2000; 678   ; 678   ; 678   ;       ;29            ;
25.07.2000; 691   ; 691   ; 691   ;       ;29            ;
26.07.2000; 711   ; 711   ; 711   ;       ;29            ;
27.07.2000; 731   ; 731   ; 731   ;       ;29            ;
28.07.2000; 749   ; 749   ; 749   ;       ;29            ;
29.07.2000; 777   ; 777   ; 777   ;       ;29            ;
30.07.2000; 800   ; 800   ; 800   ;       ;29            ;
31.07.2000; 806   ; 806   ; 806   ;       ;29            ;
01.08.2000; 827   ; 827   ; 827   ;       ;29            ;
02.08.2000; 856   ; 856   ; 856   ;       ;29            ;
03.08.2000; 884   ; 884   ; 884   ;       ;29            ;
04.08.2000; 907   ; 907   ; 907   ;       ;29            ;
05.08.2000; 927   ; 927   ; 927   ;       ;29            ;
06.08.2000; 939   ; 939   ; 939   ;       ;29            ;
07.08.2000; 950   ; 950   ; 950   ;       ;29            ;
08.08.2000; 959   ; 959   ; 959   ;       ;29            ;
09.08.2000; 961   ; 961   ; 961   ;       ;29            ;
10.08.2000; 963   ; 963   ; 963   ;       ;29            ;
11.08.2000; 960   ; 960   ; 960   ;       ;29            ;
12.08.2000; 957   ; 957   ; 957   ;       ;29            ;
13.08.2000; 956   ; 956   ; 956   ;       ;29            ;
14.08.2000; 958   ; 958   ; 958   ;       ;29            ;
15.08.2000; 957   ; 957   ; 957   ;       ;29            ;
16.08.2000; 956   ; 956   ; 956   ;       ;29            ;
17.08.2000; 952   ; 952   ; 952   ;       ;29            ;
18.08.2000; 944   ; 944   ; 944   ;       ;29            ;
19.08.2000; 934   ; 934   ; 934   ;       ;29            ;
20.08.2000; 930   ; 930   ; 930   ;       ;29            ;
21.08.2000; 917   ; 917   ; 917   ;       ;29            ;
22.08.2000; 907   ; 907   ; 907   ;       ;29            ;
23.08.2000; 902   ; 902   ; 902   ;       ;29            ;
24.08.2000; 897   ; 897   ; 897   ;       ;29            ;
25.08.2000; 890   ; 890   ; 890   ;       ;29            ;
26.08.2000; 888   ; 888   ; 888   ;       ;29            ;
27.08.2000; 872   ; 872   ; 872   ;       ;29            ;
28.08.2000; 861   ; 861   ; 861   ;       ;29            ;
29.08.2000; 854   ; 854   ; 854   ;       ;29            ;
30.08.2000; 845   ; 845   ; 845   ;       ;29            ;
31.08.2000; 842   ; 842   ; 842   ;       ;29            ;
01.09.2000; 836   ; 836   ; 836   ;       ;29            ;
02.09.2000; 830   ; 830   ; 830   ;       ;29            ;
03.09.2000; 820   ; 820   ; 820   ;       ;29            ;
04.09.2000; 813   ; 813   ; 813   ;       ;29            ;
05.09.2000; 801   ; 801   ; 801   ;       ;29            ;
06.09.2000; 789   ; 789   ; 789   ;       ;29            ;
07.09.2000; 781   ; 781   ; 781   ;       ;29            ;
08.09.2000; 774   ; 774   ; 774   ;       ;29            ;
09.09.2000; 769   ; 769   ; 769   ;       ;29            ;
10.09.2000; 763   ; 763   ; 763   ;       ;29            ;
11.09.2000; 758   ; 758   ; 758   ;       ;29            ;
12.09.2000; 754   ; 754   ; 754   ;       ;29            ;
13.09.2000; 746   ; 746   ; 746   ;       ;29            ;
14.09.2000; 739   ; 739   ; 739   ;       ;29            ;
15.09.2000; 733   ; 733   ; 733   ;       ;29            ;
16.09.2000; 724   ; 724   ; 724   ;       ;29            ;
17.09.2000; 723   ; 723   ; 723   ;       ;29            ;
18.09.2000; 730   ; 730   ; 730   ;       ;29            ;
19.09.2000; 733   ; 733   ; 733   ;       ;29            ;
20.09.2000; 737   ; 737   ; 737   ;       ;29            ;
21.09.2000; 743   ; 743   ; 743   ;       ;29            ;
22.09.2000; 749   ; 749   ; 749   ;       ;29            ;
23.09.2000; 751   ; 751   ; 751   ;       ;29            ;
24.09.2000; 757   ; 757   ; 757   ;       ;29            ;
25.09.2000; 756   ; 756   ; 756   ;       ;29            ;
26.09.2000; 754   ; 754   ; 754   ;       ;29            ;
27.09.2000; 750   ; 750   ; 750   ;       ;29            ;
28.09.2000; 745   ; 745   ; 745   ;       ;29            ;
29.09.2000; 736   ; 736   ; 736   ;       ;29            ;
30.09.2000; 727   ; 727   ; 727   ;       ;29            ;
01.10.2000; 717   ; 717   ; 717   ;       ;29            ;
02.10.2000; 707   ; 707   ; 707   ;       ;29            ;
03.10.2000; 699   ; 699   ; 699   ;       ;29            ;
04.10.2000; 693   ; 693   ; 693   ;       ;29            ;
05.10.2000; 690   ; 690   ; 690   ;       ;29            ;
06.10.2000; 685   ; 685   ; 685   ;       ;29            ;
07.10.2000; 684   ; 684   ; 684   ;       ;29            ;
08.10.2000; 693   ; 693   ; 693   ;       ;29            ;
09.10.2000; 698   ; 698   ; 698   ;       ;29            ;
10.10.2000; 702   ; 702   ; 702   ;       ;29            ;
11.10.2000; 704   ; 704   ; 704   ;       ;29            ;
12.10.2000; 705   ; 705   ; 705   ;       ;29            ;
13.10.2000; 703   ; 703   ; 703   ;       ;30            ;
14.10.2000; 703   ; 703   ; 703   ;       ;29            ;
15.10.2000; 702   ; 702   ; 702   ;       ;30            ;
16.10.2000; 697   ; 697   ; 697   ;       ;29            ;
17.10.2000; 693   ; 693   ; 693   ;       ;29            ;
18.10.2000; 693   ; 693   ; 693   ;       ;30            ;
19.10.2000; 687   ; 687   ; 687   ;       ;29            ;
20.10.2000; 684   ; 684   ; 684   ;       ;29            ;
21.10.2000; 680   ; 680   ; 680   ;       ;29            ;
22.10.2000; 674   ; 674   ; 674   ;       ;29            ;
23.10.2000; 668   ; 668   ; 668   ;       ;29            ;
24.10.2000; 663   ; 663   ; 663   ;       ;29            ;
25.10.2000; 657   ; 657   ; 657   ;       ;30            ;
26.10.2000; 647   ; 647   ; 647   ;       ;29            ;
27.10.2000; 631   ; 631   ; 631   ;       ;29            ;
28.10.2000; 618   ; 618   ; 618   ;       ;29            ;
29.10.2000; 612   ; 612   ; 612   ;       ;29            ;
30.10.2000; 607   ; 607   ; 607   ;       ;29            ;
31.10.2000; 603   ; 603   ; 603   ;       ;29            ;
01.11.2000; 598   ; 598   ; 598   ;       ;29            ;
02.11.2000; 592   ; 592   ; 592   ;       ;29            ;
03.11.2000; 588   ; 588   ; 588   ;       ;29            ;
04.11.2000; 583   ; 583   ; 583   ;       ;29            ;
05.11.2000; 578   ; 578   ; 578   ;       ;29            ;
06.11.2000; 573   ; 573   ; 573   ;       ;29            ;
07.11.2000; 569   ; 569   ; 569   ;       ;29            ;
08.11.2000; 564   ; 564   ; 564   ;       ;29            ;
09.11.2000; 554   ; 554   ; 554   ;       ; 9, 2         ;
10.11.2000; 540   ; 540   ; 540   ;       ; 9, 2         ;
11.11.2000; 540   ; 540   ; 540   ;       ; 9, 2         ;
12.11.2000; 555   ; 555   ; 555   ;       ; 9, 2         ;
13.11.2000; 557   ; 557   ; 557   ;       ; 9, 2         ;
14.11.2000; 557   ; 557   ; 557   ;       ; 9, 2         ;
15.11.2000; 555   ; 555   ; 555   ;       ; 9, 2         ;
16.11.2000; 548   ; 548   ; 548   ;       ; 9, 2         ;
17.11.2000; 542   ; 542   ; 542   ;       ;14,16         ;
18.11.2000; 595   ; 595   ; 595   ;       ;14,16         ;
19.11.2000; 611   ; 611   ; 611   ;       ;14,16         ;
20.11.2000; 606   ; 606   ; 606   ;       ;14,16         ;
21.11.2000; 603   ; 603   ; 603   ;       ;14,16         ;
22.11.2000; 588   ; 588   ; 588   ;       ;14,16         ;
23.11.2000; 576   ; 576   ; 576   ;       ;14,16         ;
24.11.2000; 570   ; 570   ; 570   ;       ;14,16         ;
25.11.2000; 566   ; 566   ; 566   ;       ;14,16         ;
26.11.2000; 564   ; 564   ; 564   ;       ;14,16         ;
27.11.2000; 562   ; 562   ; 562   ;       ;14,16         ;
28.11.2000; 561   ; 561   ; 561   ;       ;14,16         ;
29.11.2000; 561   ; 561   ; 561   ;       ;14,16         ;
30.11.2000; 559   ; 559   ; 559   ;       ;14,16         ;
01.12.2000; 558   ; 558   ; 558   ;       ;14,16         ;
02.12.2000; 556   ; 556   ; 556   ;       ;14,16         ;
03.12.2000; 567   ; 567   ; 567   ;       ;14,16         ;
04.12.2000; 575   ; 575   ; 575   ;       ;14,16         ;
05.12.2000; 581   ; 581   ; 581   ;       ;14,16         ;
06.12.2000; 589   ; 589   ; 589   ;       ;14,16         ;
07.12.2000; 598   ; 598   ; 598   ;       ;14,16         ;
08.12.2000; 606   ; 606   ; 606   ;       ;14,16         ;
09.12.2000; 615   ; 615   ; 615   ;       ;14,16         ;
10.12.2000; 621   ; 621   ; 621   ;       ;14,16         ;
11.12.2000; 627   ; 627   ; 627   ;       ;14,16         ;
12.12.2000; 627   ; 627   ; 627   ;       ;14,16         ;
13.12.2000; 622   ; 622   ; 622   ;       ;14,16         ;
14.12.2000; 618   ; 618   ; 618   ;       ;14,16         ;
15.12.2000; 617   ; 617   ; 617   ;       ;14,16         ;
16.12.2000; 618   ; 618   ; 618   ;       ;14,16         ;
17.12.2000; 617   ; 617   ; 617   ;       ;14,16         ;
18.12.2000; 618   ; 618   ; 618   ;       ;14,16         ;
19.12.2000; 617   ; 617   ; 617   ;       ;14,16         ;
20.12.2000; 616   ; 616   ; 616   ;       ;14,16         ;
21.12.2000; 614   ; 614   ; 614   ;       ;16            ;
22.12.2000; 613   ; 613   ; 613   ;       ;16            ;
23.12.2000; 612   ; 612   ; 612   ;       ;16            ;
24.12.2000; 610   ; 610   ; 610   ;       ;16            ;
25.12.2000; 607   ; 607   ; 607   ;       ;16            ;
26.12.2000; 606   ; 606   ; 606   ;       ;16            ;
27.12.2000; 599   ; 599   ; 599   ;       ;16            ;
28.12.2000; 598   ; 598   ; 598   ;       ;16            ;
29.12.2000; 593   ; 593   ; 593   ;       ;16            ;
30.12.2000; 584   ; 584   ; 584   ;       ;16            ;
31.12.2000; 582   ; 582   ; 582   ;       ;16            ;
01.01.2001; 577   ; 577   ; 577   ;       ;16            ;
02.01.2001; 574   ; 574   ; 574   ;       ;16            ;
03.01.2001; 572   ; 572   ; 572   ;       ;16            ;
04.01.2001; 569   ; 569   ; 569   ;       ;16            ;
05.01.2001; 566   ; 566   ; 566   ;       ;16            ;
06.01.2001; 562   ; 562   ; 562   ;       ;16            ;
07.01.2001; 560   ; 560   ; 560   ;       ;16            ;
08.01.2001; 559   ; 559   ; 559   ;       ;16            ;
09.01.2001; 559   ; 559   ; 559   ;       ;16            ;
10.01.2001; 558   ; 558   ; 558   ;       ;16            ;
11.01.2001; 557   ; 557   ; 557   ;       ;16            ;
12.01.2001; 557   ; 557   ; 557   ;       ;16            ;
13.01.2001; 556   ; 556   ; 556   ;       ;16            ;
14.01.2001; 554   ; 554   ; 554   ;       ;16            ;
15.01.2001; 548   ; 548   ; 548   ;       ;16            ;
16.01.2001; 543   ; 543   ; 543   ;       ;16            ;
17.01.2001; 539   ; 539   ; 539   ;       ;16            ;
18.01.2001; 535   ; 535   ; 535   ;       ;16            ;
19.01.2001; 531   ; 531   ; 531   ;       ;16            ;
20.01.2001; 529   ; 529   ; 529   ;       ;16            ;
21.01.2001; 527   ; 527   ; 527   ;       ;16            ;
22.01.2001; 525   ; 525   ; 525   ;       ;16            ;
23.01.2001; 528   ; 528   ; 528   ;       ;16            ;
24.01.2001; 526   ; 526   ; 526   ;       ;16            ;
25.01.2001; 526   ; 526   ; 526   ;       ;16            ;
26.01.2001; 524   ; 524   ; 524   ;       ;16            ;
27.01.2001; 524   ; 524   ; 524   ;       ;16            ;
28.01.2001; 524   ; 524   ; 524   ;       ;16            ;
29.01.2001; 524   ; 524   ; 524   ;       ;16            ;
30.01.2001; 523   ; 523   ; 523   ;       ;16            ;
31.01.2001; 522   ; 522   ; 522   ;       ;16            ;
01.02.2001; 523   ; 523   ; 523   ;       ;16            ;
02.02.2001; 525   ; 525   ; 525   ;       ;16            ;
03.02.2001; 523   ; 523   ; 523   ;       ;16            ;
04.02.2001; 522   ; 522   ; 522   ;       ;16            ;
05.02.2001; 517   ; 517   ; 517   ;       ;16            ;
06.02.2001; 514   ; 514   ; 514   ;       ;16            ;
07.02.2001; 515   ; 515   ; 515   ;       ;16            ;
08.02.2001; 516   ; 516   ; 516   ;       ;16            ;
09.02.2001; 518   ; 518   ; 518   ;       ;16            ;
10.02.2001; 518   ; 518   ; 518   ;       ;16            ;
11.02.2001; 518   ; 518   ; 518   ;       ;16            ;
12.02.2001; 515   ; 515   ; 515   ;       ;16            ;
13.02.2001; 511   ; 511   ; 511   ;       ;16            ;
14.02.2001; 508   ; 508   ; 508   ;       ;16            ;
15.02.2001; 507   ; 507   ; 507   ;       ;16            ;
16.02.2001; 507   ; 507   ; 507   ;       ;16            ;
17.02.2001; 508   ; 508   ; 508   ;       ;16            ;
18.02.2001; 508   ; 508   ; 508   ;       ;16            ;
19.02.2001; 508   ; 508   ; 508   ;       ;16            ;
20.02.2001; 507   ; 507   ; 507   ;       ;16            ;
21.02.2001; 505   ; 505   ; 505   ;       ;16            ;
22.02.2001; 503   ; 503   ; 503   ;       ;16            ;
23.02.2001; 500   ; 500   ; 500   ;       ;16            ;
24.02.2001; 497   ; 497   ; 497   ;       ;16            ;
25.02.2001; 497   ; 497   ; 497   ;       ;16            ;
26.02.2001; 499   ; 499   ; 499   ;       ;16            ;
27.02.2001; 502   ; 502   ; 502   ;       ;16            ;
28.02.2001; 507   ; 507   ; 507   ;       ;16            ;
01.03.2001; 510   ; 510   ; 510   ;       ;16            ;
02.03.2001; 511   ; 511   ; 511   ;       ;16            ;
03.03.2001; 511   ; 511   ; 511   ;       ;16            ;
04.03.2001; 513   ; 513   ; 513   ;       ;16            ;
05.03.2001; 513   ; 513   ; 513   ;       ;16            ;
06.03.2001; 512   ; 512   ; 512   ;       ;16            ;
07.03.2001; 511   ; 511   ; 511   ;       ;16            ;
08.03.2001; 510   ; 510   ; 510   ;       ;16            ;
09.03.2001; 511   ; 511   ; 511   ;       ;16            ;
10.03.2001; 510   ; 510   ; 510   ;       ;16            ;
11.03.2001; 510   ; 510   ; 510   ;       ;16            ;
12.03.2001; 512   ; 512   ; 512   ;       ;16            ;
13.03.2001; 514   ; 514   ; 514   ;       ;16            ;
14.03.2001; 516   ; 516   ; 516   ;       ;16            ;
15.03.2001; 516   ; 516   ; 516   ;       ;16            ;
16.03.2001; 516   ; 516   ; 516   ;       ;16            ;
17.03.2001; 516   ; 516   ; 516   ;       ;16            ;
18.03.2001; 516   ; 516   ; 516   ;       ;16            ;
19.03.2001; 517   ; 517   ; 517   ;       ;16            ;
20.03.2001; 516   ; 516   ; 516   ;       ;16            ;
21.03.2001; 515   ; 515   ; 515   ;       ;16            ;
22.03.2001; 515   ; 515   ; 515   ;       ;16            ;
23.03.2001; 514   ; 514   ; 514   ;       ;16            ;
24.03.2001; 514   ; 514   ; 514   ;       ;16            ;
25.03.2001; 514   ; 514   ; 514   ;       ;16            ;
26.03.2001; 514   ; 514   ; 514   ;       ;16            ;
27.03.2001; 514   ; 514   ; 514   ;       ;16            ;
28.03.2001; 514   ; 514   ; 514   ;       ;15,16         ;
29.03.2001; 514   ; 514   ; 514   ;       ;15,16         ;
30.03.2001; 514   ; 514   ; 514   ;       ;15,16         ;
31.03.2001; 514   ; 514   ; 514   ;       ;15,16         ;
01.04.2001; 514   ; 514   ; 514   ;       ;15,16         ;
02.04.2001; 514   ; 514   ; 514   ;       ;15,16         ;
